,Year_Reported,Account_Number,Organization,City,Country,CDP_Region,Reporting_Authority,Access,City_emissions_invent,Accounting_year,Admin_city_boundary,Invent_boundary_to_Admini_city_boundary,Primary_Protocol,Protocol_Comment,Common_Reporting_Format,Gases_Included,Direct_emissions_1,Direct_emissions_2,Indirect_emissions_1,Indirect_emissions_2,Emissions_occurring_outside_1,Emissions_occurring_outside_2,TOTAL_Scope_1,TOTAL_Scope_2,TOTAL_Scope_3,TOTAL_Scope_1_2,TOTAL_Scope_1_2_3,Change_in_emissions,Reason_for_change,Land_area_km,Population,Population_Year,City_Location,Last_update.,Scope1,Scope2,Scope3,Outside_City,long,lat,City.Location
351,2019,31185,City of Warsaw,City of Warsaw,Poland,Europe,C40 CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Other,Covenant of Mayors,Unknown,CO2,0,8843905,4302150,0,0,0,0,0,0,0,13146055,Increased,Increased energyelectricity consumption,0,1769529,2018,210122 522297,20200501T035757217,8843905,4302150,0,0,21.0122,52.2297,21.0122 52.2297
352,2019,35898,Greater Manchester,Greater Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,4013.68,8920961.92,0,3841376.1,741.31,2854683.84,0,0,0,0,15621776.85,Decreased,Technological change,0,2812569,2018,215783 534576,20200501T035757217,8924975.6,0,3841376.1,2855425.15,-2.15783,53.4576,-2.15783 53.4576
355,2019,73693,City of La Rioja,City of La Rioja,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,23.55,392634.89,0,241644.53,0,40481.98,0,0,0,0,674784.95,,,0,180995,2010,,20200501T035757217,392658.44,0,241644.53,40481.98,,,
356,2019,54409,City of Espoo,City of Espoo,Finland,Europe,CDP Cities ICLEI  Local Governments for Sustainability Union of the Baltic Cities,public,Yes,20180101  20181231,Unknown,Same covers entire city and nothing else,Other,Unknown,Unknown,CH4 CO2 N20,0,878000,0,224000,0,0,0,0,0,0,1102000,Decreased,Technological change,0,283632,2018,246559 602055,20200501T035757217,878000,0,224000,0,24.6559,60.2055,24.6559 60.2055
358,2019,55334,Municpio de Braga,Municpio de Braga,Portugal,Europe,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20180101  20181231,Unknown,Same covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,A metodologia de clculo de emissëes de CO2  baseada nos princpios do IPCC Os dados apresentados so determinados aplicando fatores de emisso aos dados resultantes do inventrio de energia O consumo de energia  calculado usando um modelo matemtico baseado no consumo de energia local e variveis macroeconmicas e demogrficas,Unknown,CO2,0,194352,0,0,0,0,0,0,0,0,194352,Decreased,Policy change,0,181182,2016,843821 415337,20200501T035757217,194352,0,0,0,-8.43821,41.5337,-8.43821 41.5337
359,2019,43930,The Hague,The Hague,Netherlands,Europe,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CO2,0,0,0,0,0,0,979650,573182,108563,1552832,1661395,Decreased,Policy change,0,539040,2019,43007 520705,20200501T035757217,979650,573182,108563,0,4.3007,52.0705,4.3007 52.0705
364,2019,50392,Prefeitura de Vitria,Prefeitura de Vitria,Brazil,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20100101  20101231,Unknown,Larger covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,"Padro ou Protocolo	GLOBAL PROTOCOL FOR COMMUNITYSCALE GREENHOUSE GAS EMISSIONS GPC  Pilot Verso 10 May 2006ICLEI C40 WRIAlcance	BasicLimites geogrficos	CARIACICA FUNDO GUARAPARI SERRA VIANA VILA VELHA E VITRIALimites operacionais	Todas as emissëes do escopo 1 e escopo 2 de unidades estacionrias unidades mveis resduos processos industriais e usos de produtos assim como de agricultura silvicultura e outros usos da terra AFOLU  Todas as emissëes do escopo 3 do setor resduos Todas as emissëes do escopo 3 de unidades mveisFoco	Top down para uso de uso de produtos processos industriais e efluentes lquidos Bottom up para uso de combustveis produo de energia resduos e AFOLUAno do Inventrio	2010",No,CH4 CO2 HFCs N20 PFCs SF6,0,0,0,0,0,0,2431182.52,367108.66,659008.58,1689719.09,3457299.76,Increased,Increased energyelectricity consumption,0,358267,2018,403776 203338,20200501T035757217,2431182.52,367108.66,659008.58,0,-40.3776,-20.3338,-60.7114
367,2019,54513,Municipality of Uppsala,Municipality of Uppsala,Sweden,Europe,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 HFCs N20 PFCs SF6,313360,434888,11156,426840,0,352775,0,0,0,0,1539019,Increased,Increased energyelectricity consumption,0,225164,2018,17635 598536,20200501T035757217,748248,11156,426840,352775,17.635,59.8536,17.635 59.8536
368,2019,73694,Chacabuco,Chacabuco,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,590011.86,0,72331.7,0,11094.56,0,0,0,0,673438.12,This is our first year of calculation,Lack of knowledge overcome,0,50546,2014,,20200501T035757217,590011.86,0,72331.7,11094.56,,,
369,2019,31173,Comune di Milano,Comune di Milano,Italy,Europe,C40 CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20150101  20151231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,4008005.06,2346844,166687,5965717.96,6521536.06,Decreased,,0,1395274,2018,908635 458026,20200501T035757217,4008005.06,2346844,166687,0,9.08635,45.8026,9.08635 45.8026
370,2019,74453,City of Highland Park IL,City of Highland Park IL,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20180101  20181231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,The data management format of this protocol is straightforward and accessible and works easily with the basic software available to our team  Our emissions data comes from multiple sources internal records local utilities contracted waste hauler etc and our team includes volunteer residents as well as staff and consultants so being able to use Excel as the data entry and analysis tool is very important   Our city does not have any Scope 1 emissions other than transportation therefore we do not require a complex GHG calculation methodology,Yes,CH4 CO2 N20 NF3 SF6,0,37877,0,274958,0,0,0,0,0,0,312835,Stayed the same,Emissions have not changed,0,29767,2019,,20200501T035757217,37877,0,274958,0,,,
371,2019,54270,Palmerston North City Council,Palmerston North City Council,New Zealand,Southeast Asia and Oceania,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160701  20170630,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Same protocol as other New Zealand cities that have completed inventories,No,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,0,0,0,0,0,523305,47361,0,570666,570666,This is our first year of calculation,,0,87300,2017,,20200501T035757217,523305,47361,0,0,,,
372,2019,73715,Cosqun,Cosqun,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,17709.61,0,19894.93,0,13222.92,0,0,0,0,50827.46,,,0,19815,2010,,20200501T035757217,17709.61,0,19894.93,13222.92,,,
373,2019,58621,Town of Blacksburg,Town of Blacksburg,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,2015 Town of Blacksburg community green house gas inventory according to the ICLEI US community protocol,Unknown,CH4 CO2 N20,0,306452.03,0,0,0,0,0,0,0,0,306452.03,Decreased,Change in weather conditions,0,44215,2015,804139 372296,20200501T035757217,306452.03,0,0,0,-80.4139,37.2296,-80.4139 37.2296
379,2019,43934,City of Perth,City of Perth,Australia,Southeast Asia and Oceania,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140701  20150630,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,123613,1028194,209463,653337,1361270,This is our first year of calculation,,0,29627,2019,115861 319526,20200501T035757217,123613,1028194,209463,0,115.861,-31.9526,115.861 -31.9526
380,2019,50359,Gobierno Municipal de Len de los Aldamas,Gobierno Municipal de Len de los Aldamas,Mexico,Latin America,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20170601  20180601,Unknown,Larger covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Para el periodo 20172018 se realizar el Protocolo Global para Inventarios de Emisin de Gases de Efecto Invernadero a Escala comunitaria GPC por sus siglas en ingls el cual es una gua metodolgica para realizar el clculo y el reporte de emisiones de GEI  a nivel regional nacional y subnacional Es importante recalcar que como menciona el GPC la cuantificacin y el reporte justo y real de emisiones de GEI  de una ciudad o municipio estn basados en cinco principios fundamentales que incluyen la relevancia la exhaustividad la coherencia la transparencia y la precisin Por otra parte  para el inventario con el que se cuenta 20122015 recopilacin de datos en 2012 se elabor en 2013  y finalmente se public en 2015 se aplic la metodologa del IPCC 2006 y Factores de Emisin FE en los que se presentan adecuaciones puntuales en respuesta a las caractersticas especficas de las actividades productivas en Len por mencionar algunas consideraciones adems se incluy la produccin artesanal de tabique con apego a las disposiciones estipuladas en el Programa Especial de Cambio Climtico PECC El clculo de GEI y el inventario aqu presentado son el primer paso para el emprendimiento de una serie de estrategias que atiendan la problemtica del cambio climtico en el municipio con base en el registro de la cantidad total de GEI su distribucin en cada sector y las tendencias de generacin de estos contaminantes por parte de los distintos sectores  Asimismo se aade la estimacin de Carbono Negro CN para la realizacin del inventario municipal por lo que fue necesario recurrir a diferentes fuentes de informacin oficial con la finalidad de tener una base slida y verdica de los datos a emplear para los clculos de este captulo Igualmente se analiz informacin presentada en diferentes diagnsticos y estudios de reas especficas dentro del municipio de Len como lo fueron los estudios realizados por el IMPLAN Instituto Municipal de Planeacin en las zonas del Valladito y el Refugio por loa produccin de ladrillos que se realiza en ambas zonas,Unknown,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,2726988,2285593,0,0,0,0,0,0,0,5012581,Decreased,Technological change,0,1578626,2015,101684 211221,20200501T035757217,2726988,2285593,0,0,-101.684,21.1221,-101.684 21.1221
383,2019,834219,Municipality of Corrientes,Municipality of Corrientes,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,597072.53,0,194671.94,0,29859.69,0,0,0,0,821604.16,This is our first year of calculation,Other,0,376528,2014,,20200501T035757217,597072.53,0,194671.94,29859.69,,,
384,2019,43912,City of Edmonton,City of Edmonton,Canada,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20180101  20181231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Completing the inventory involves acquiring the total natural gas and electricity used by all residents industry institutions and commercial properties within the citys boundaries from the primary natural gas and electricity providers This information is provided to us in various reporting categories such as residential commercial and industrial We are now receiving this information at the finest level of granularity that can be provided from the utilities Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta which is then prorated according to the population of Edmonton compared to the population of Alberta The diesel and gasoline use in litres is done in a similar fashion but the information in this case is provided to us from the Alberta provincial government This information is further adjusted by provincial registration data The natural gas consumption in vehicles is received directly from the natural gas distributor The emission factors are taken from the 2018 National Inventory Report The data are input manually each year into an excel spreadsheet model,No,CH4 CO2 N20,0,0,0,0,0,0,10981088,5807488,2573906,15936756,19362482,Increased,Increased energyelectricity consumption,0,980000,2018,113491 535444,20200501T035757217,10981088,5807488,2573906,0,-113.491,53.5444,-113.491 53.5444
387,2019,54092,City of Ann Arbor,City of Ann Arbor,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20180101  20190101,Unknown,Larger covers the whole city and adjoining areas,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,Unknown,Unknown,CH4 CO2 N20,0,967069,0,1073330,0,114892,0,0,0,0,2155291,Stayed the same,Emissions have not changed,0,121890,2018,83743 422808,20200501T035757217,967069,0,1073330,114892,-83.743,42.2808,-83.743 42.2808
390,2019,58530,City of Northampton MA,City of Northampton MA,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CO2,0,0,0,0,0,0,0,328180,0,0,328180,This is our first year of calculation,,0,28549,2010,726144 423048,20200501T035757217,0,328180,0,0,-72.6144,42.3048,-72.6144 42.3048
391,2019,54119,City of Palo Alto,City of Palo Alto,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20180101  20181231,Unknown,Same covers entire city and nothing else,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,TCRLGOP,Unknown,CH4 CO2 N20,0,10855,0,0,0,316743,0,0,0,0,327598,Decreased,Other Elimination of natural gas emissions,0,67082,2018,122143 374419,20200501T035757217,10855,0,0,316743,-122.143,37.4419,-122.143 37.4419
394,2019,73803,Herrera,Herrera,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,36356.25,0,1345.21,0,206.33,0,0,0,0,37907.79,,,0,1767,2010,,20200501T035757217,36356.25,0,1345.21,206.33,,,
395,2019,14344,City of Park City UT,City of Park City UT,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Per the GPC protocol BASIC emission scopes are defined as follows The following GPC items are applicable to Park CityScope 1 GHG emissions from sources located within the city boundary includingü energy and transportation fuel combustionü fugitive emissionsü industrial processes and product use inside the city andü agriculture forestry and land use inside the cityScope 2 GHG emissions occurring as a consequence of the use of gridsupplied electricity heat steam andor cooling within the city boundaryScope 3 GHG emissions that occur outside the city boundary as a result of activities taking placewithin the city boundary includingü transmission and distribution lossesü solid waste treated outside the cityü wastewater treated outside the cityü transportation activities for which fuel combustion occurs outside the city including visitor air travelGHG emissions that are not required to be reported per the GPC protocol but may help cities better understand all of their GHG emission activities were also calculated and include key consumption based emissionsNonGPC Scope 3 ConsumptionBased For Park City nonGPC Scope 3 emissions were calculated for the following consumptionbased activitiesü potable water useü welltopump fuel productionü cement use andü food purchasesConsumption from agriculture forestry and fishing electricity activities is included with commercial natural gas useGPC Emissions that were not applicable to Park CityScope 2ü solid waste treated within the cityü wastewater treated within the cityScope 3ü energy use for which stationary fuel combustion occurs outside the city,Yes,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,160849,0,176857,0,207142,0,0,0,0,544848,Decreased,Change in accounting methodology,0,8376,2016,111498 406461,20200501T035757217,160849,0,176857,207142,-111.498,40.6461,-111.498 40.6461
397,2019,840521,City of Denizli,City of Denizli,Turkey,Europe,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20160101  20161231,Unknown,Larger covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,The Denizli Greenhouse Gas Inventory has been prepared in accordance with Global Protocol for Local GHG Emissions GPC which was prepared in 2014 by C40 Cities Climate Leadership Group C40 the International Council of Local Environmental Initiatives ICLEI and the World Resources Institute WRI and which is widely used by local governmentsThe GPC was prepared on the basis of the IPCC National Greenhouse Gas Inventory Guidelines developed by the Intergovernmental Panel on Climate Change IPCC in 2006 and updated periodically In this way the results described in the following chapters are intended to be comparable and acceptable on a global scaleThe inventory prepared at the urban scale includes all the emission sources within the realm of authority of Denizli Metropolitan Municipality The authority of Denizli Metropolitan Municipality covers the provincial boundaries of the province The inventory content is based on the classification of emission sources set by GPC When preparing inventory in the framework of GPC the scope of the inventory was determined depending on the detail accuracy and reliability of the available data GPC evaluates greenhouse gas emissions in 3 scopes Scope 1  Direct Emissions Scope 2  Indirect Emissions and Scope 3  Indirect Consumption Based Emissions During the preparation of the inventory all emission sources within the realm of authority of the municipality were scanned and the maximum amount of data was tried to be reached The emissions under Scope 3 were not included in the inventory due to the fact that it is ver y difficult to reach related data  According to the results of the GPC approach the total greenhouse gas emissions of Denizli province for the year 2016 were estimated to be 75 million tons of CO2e This amount refers to 75 tons of CO2e per capita which is proportional to the population of Denizli in the same year 1005687 and this number is higher than Turkeyüs 2016 average calculated as 75 tons of CO2e per capita Total emissions of Denizli in Turkeyüs total emissions in 2016 constitute 15,No,CH4 CO2 HFCs N20 PFCs SF6,0,0,0,0,0,0,5851890,1650777,0,5094537,7502667,,,0,1027782,2018,,20200501T035757217,5851890,1650777,0,0,,,
398,2019,42178,Distrito Metropolitano de Quito,Distrito Metropolitano de Quito,Ecuador,Latin America,C40 CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20150101  20151231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,5081963,0,0,5759189,5081963,,,0,2239191,2010,785167 02333,20200501T035757217,5081963,0,0,0,-78.5167,-0.2333,-78.75
399,2019,834301,Municipality of San Antonio de Areco,Municipality of San Antonio de Areco,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,161022.85,0,21577.1,0,3309.6,0,0,0,0,185909.55,This is our first year of calculation,Other No hay datos,0,24111,2014,,20200501T035757217,161022.85,0,21577.1,3309.6,,,
403,2019,50154,City of Turku,City of Turku,Finland,Europe,CDP Cities ICLEI  Local Governments for Sustainability Union of the Baltic Cities WWF,public,Yes,20150101  20151231,Unknown,Same covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,The 2006 IPCC Guidelines methodology has been applied in accordance with the Covenant of Mayors 2018 guidance ie Guidebook üHow to develop a sustainable energy and climate action plan SECAPüù Part 2 Baseline emission inventory BEI and Risk and vulnerability assessment RVA,Unknown,CH4 CO2 N20,49372,363926,0,656354,0,0,0,0,0,0,1069652,Decreased,Technological change,0,191000,2018,222666 604518,20200501T035757217,413298,0,656354,0,22.2666,60.4518,22.2666 60.4518
409,2019,31113,City of Yokohama,City of Yokohama,Japan,East Asia,C40 CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160401  20170331,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,0,0,0,0,0,29671048,7925110,2590099,21022756,40186257,Stayed the same,Emissions have not changed,0,37341317,2019,139638 354437,20200501T035757217,29671048,7925110,2590099,0,139.638,35.4437,139.638 35.4437
410,2019,54402,City of Lahti,City of Lahti,Finland,Europe,CDP Cities ICLEI  Local Governments for Sustainability Union of the Baltic Cities,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,With some national modifications Emissions and energy use are calculated from data year 2017,Unknown,CH4 CO2 N20,0,690300,0,0,0,0,0,0,0,0,690300,Decreased,Technological change,0,120028,2019,2565 609833,20200501T035757217,690300,0,0,0,25.65,60.9833,25.65 60.9833
413,2019,59545,City of Charlottesville VA,City of Charlottesville VA,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,No comment,No,CH4 CO2 N20,0,0,0,0,0,0,172555,171240,0,343796,343795,Decreased,Other Behavioral Change Reduced Emissions from Electric Grid and Increased Fuel Efficiency of Vehicles,0,48117,2018,784767 380293,20200501T035757217,172555,171240,0,0,-78.4767,38.0293,-78.4767 38.0293
418,2019,35877,City of Pittsburgh,City of Pittsburgh,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20130101  20131231,Unknown,Same covers entire city and nothing else,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,Our inventory measures C02 NOx and SOx,Unknown,CH4 CO2 N20,0,5010418,0,0,0,0,0,0,0,0,5010418,Decreased,Behavioural change,0,301048,2018,799959 404406,20200501T035757217,5010418,0,0,0,-79.9959,40.4406,-79.9959 40.4406
419,2019,64014,City of Cupertino,City of Cupertino,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20150101  20151231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,154412.6,0,54382.5,0,86191.05,0,0,0,0,294986.15,Decreased,Policy change,0,60170,2018,122032 37323,20200501T035757217,154412.6,0,54382.5,86191.05,-122.032,37.323,-122.032 37.323
421,2019,46514,City of Porto,City of Porto,Portugal,Europe,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,City specific methodology,The GHG emissions inventory was developed through the energy supply and demand data by the Portuguese DirectorateGeneral for Energy and Geology wwwdgegpt and the National Statistics Institute wwwinept The Transports sector was estimated through a separate and specific mobility needs model,Unknown,CO2,0,509133,0,452666,0,0,0,0,0,0,961799,Increased,Other Increased in residential electricity use,0,237591,2011,86291 411579,20200501T035757217,509133,0,452666,0,-8.6291,41.1579,-8.6291 41.1579
424,2019,31171,Ayuntamiento de Madrid,Ayuntamiento de Madrid,Spain,Europe,C40 CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 HFCs N20 PFCs SF6,0,0,0,0,0,0,7131195,3118428,443477,9443598,10693100,Decreased,Other Reduction of emissions at National Electricity Grid  Scale,0,3221,2018,338756 401076,20200501T035757217,7131195,3118428,443477,0,-3.38756,40.1076,-3.38756 40.1076
434,2019,54124,City of Fremont,City of Fremont,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20150101  20151231,Unknown,Same covers entire city and nothing else,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,Unknown,Unknown,CH4 CO2 N20,0,1440313,0,0,0,0,0,0,0,0,1440313,Decreased,Technological change,0,234962,2017,121989 375483,20200501T035757217,1440313,0,0,0,-121.989,37.5483,-121.989 37.5483
435,2019,36158,Comune di Napoli,Comune di Napoli,Italy,Europe,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Other,Covenant of Mayors  SEAP,Unknown,CO2,0,2559322,0,0,0,0,0,0,0,0,2559322,Decreased,Policy change,0,983755,2014,142514 40842,20200501T035757217,2559322,0,0,0,14.2514,40.842,14.2514 40.842
437,2019,50551,City of Long Beach,City of Long Beach,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20150101  20151231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,1931098,2216935,0,707138,0,442099,0,0,0,0,5297270,This is our first year of calculation,,0,470130,2017,118194 337701,20200501T035757217,4148033,0,707138,442099,-118.194,33.7701,-118.194 33.7701
439,2019,8242,City of Helsinki,City of Helsinki,Finland,Europe,CDP Cities ICLEI  Local Governments for Sustainability Union of the Baltic Cities,public,Yes,20180101  20181231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,3289000,811733,0,1747554,0,0,0,0,0,0,5848287,Decreased,Technological change,0,650033,2018,24941 601733,20200501T035757217,4100733,0,1747554,0,24.941,60.1733,24.941 60.1733
440,2019,60414,Municipalidad Venado Tuerto,Municipalidad Venado Tuerto,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,361558.32,0,58537.6,0,11244.57,0,0,0,0,431340.49,This is our first year of calculation,Other,0,76432,2010,,20200501T035757217,361558.32,0,58537.6,11244.57,,,
443,2019,42388,Intendencia de Montevideo,Intendencia de Montevideo,Uruguay,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Larger covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,3168923,42791,0,3211715,3211714,Stayed the same,Emissions have not changed,0,1380432,2016,582987 347112,20200501T035757217,3168923,42791,0,0,-58.2987,-34.7112,-93.0099
445,2019,59956,Banda Aceh City Government,Banda Aceh City Government,Indonesia,Southeast Asia and Oceania,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20130101  20131231,Unknown,Same covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Unknown,Unknown,CH4 CO2,98715,479731,0,0,0,0,0,0,0,0,578446,Increased,Population increase,0,259913,2018,,20200501T035757217,578446,0,0,0,,,
446,2019,73712,Camilo Aldao,Camilo Aldao,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,87536.69,0,3486.19,0,534.73,0,0,0,0,91557.61,This is our first year of calculation,Other,0,5209,2010,,20200501T035757217,87536.69,0,3486.19,534.73,,,
